축제명,축제시작일자,축제종료일자,축제내용,주최기관명,전화번호,홈페이지주소,소재지도로명주소,데이터기준일자,제공기관명
2024년 개화산 해맞이행사,2024-01-01,2024-01-01,해맞이축제,서울특별시 강서구,02-2600-6455,,,2024-02-29,서울특별시 강서구
2024년 봄빛 페스타,2024-04-20,2024-04-20,경관조명전시+플리마켓+버스킹 등,서울특별시 강서구,02-2600-6455,,서울특별시 강서구 금낭화로 176,2024-02-29,서울특별시 강서구
여르미오페스티벌,2016-08-13,2016-08-13,대중예술축제,안산문화재단,031-481-4030,https://www.ansanart.com//lay2/S1T54C56/contents.do,경기도 안산시 단원구 화랑로 312,2024-04-17,경기도 안산시
제4회 상록수문화제,2016-09-10,2016-09-10,기념음악회+체험박람회+작품발표회+거리퍼레이드 등,경기도 안산시청,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,경기도 안산시 상록구 샘골서길 64,2024-04-17,경기도 안산시
안산국제거리극축제,2017-05-05,2017-05-07,순수예술축제,경기도 안산시청,031-481-0531,https://www.ansanart.com/index.do,경기도 안산시 단원구 광덕대로 157,2024-04-17,경기도 안산시
제5회 상록수문화제,2017-09-16,2017-09-16,기념음악회+체험박람회+작품발표회+거리퍼레이드 등,경기도 안산시청,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,경기도 안산시 상록구 샘골서길 64,2024-04-17,경기도 안산시
제2회 광주 버스킹 월드컵,2024-10-02,2024-10-06,토너먼트 방식(온라인 예선을 거쳐 본선 진행)의 버스킹 공연,광주광역시 동구,062-608-4674,http://www.buskersworldcup.com/kor/,광주광역시 동구 서남로 1(동구청),2024-05-21,광주광역시 동구
국악의 향연,2021-05-24,2021-05-24,국악,꽃바위문화관,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,울산광역시 동구 문현3길 6,2024-05-21,울산광역시 동구
고성군민의 날 및 수성문화제,2021-09-22,2022-09-24,수성제례+군민의 날 행사,고성군수성문화제위원회,,,강원도 고성군 간성읍 수성로 87,2022-12-01,강원도 고성군
백제 어울마당,2022-06-18,2022-10-15,공연 및 체험프로그램 운영,공주시,041-840-8112,,,2022-11-21,충청남도 공주시
웅진성수문병 근무교대식,2022-04-23,2022-10-29,수문병 근무교대식+무령왕 동상 회전의식,공주시,041-840-8111,,충청남도 공주시 웅진로 280,2022-11-21,충청남도 공주시
평창송어축제,2023-12-30,2024-01-29,송어얼음낚시+송어맨손잡기,강원특별자치도 평창군청,033-336-4000,http://www.festival700.or.kr,강원특별자치도 평창군 진부면 경강로 3562,2023-07-28,강원특별자치도 평창군
제21회 예래생태한가위축제,2023-09-29,2023-09-30,과거 한여름에 개최되었던 예래생태축제가 올해는 한가위를 테마로 추석연휴 양일간에 걸쳐 개최된다 가족들과 함께 다양한 체험행사를 즐겨보면 어떨까,예래동주민자치위원회,064-760-4845,,제주특별자치도 서귀포시 예래로 253,2023-12-05,제주특별자치도
제13회 양평 용문산 산나물축제,2023-05-05,2023-05-07,산나물의 맛과 향기를 느낄수 있는 즐거운 체험+공연이 펼쳐지는 다채로운 축제,경기도 양평군 용문면,031-770-3332,https://sannamulfestival.modoo.at/,경기도 양평군 용문면 용문역길 21,2023-12-05,경기도 양평군
제4회 양평부추축제,2023-10-07,2023-10-08,을미의병 발상지인 양동에서 특산품 부추로 다양한 음식을 즐기며 의병출정식 등 다양한 경험을 할 수 있는 행사,경기도 양평군 양동면,031-770-3253,https://buchoofestival.modoo.at/,경기도 양평군 양동면 양동역길 19,2023-12-05,경기도 양평군
동동동화축제,2022-12-23,2022-12-25,얼음썰매장+체험프로그램+공연 등,전라북도 남원시청,063-620-6170,,전라북도 남원시 광한북로 17,2023-12-04,전라북도 남원시
제5회 진안고원 가족공동체 김장문화축제,2023-11-18,2023-11-19,우리집 김치담그기+사랑의 김장나눔 등,전라북도 진안군,063-430-2393,https://www.jinan.go.kr/festival/,전라북도 진안군 진안읍 시장길 8-17,2023-12-01,전라북도 진안군
2023 마이산 겨울동화축제,2023-12-23,2023-12-24,겨울놀이터+겨울동화 포토존 등,전라북도 진안군,063-430-2393,https://www.jinan.go.kr/festival/,전라북도 진안군 진안읍 마이산로 160,2023-12-01,전라북도 진안군
2022 마임아카데미 몸짓워크숍,2023-05-17,2023-06-03,아티스트에게 다양한 몸짓을 배우고 무대에서 공연까지 해보는 참여형 프로그램,춘천마임축제,033-244-7556,,강원특별자치도 춘천시 후석로186번길 22 지하 1층,2024-01-31,강원특별자치도 춘천시
춘천마임축제 봄시즌,2023-05-29,2023-05-29,시민커뮤니티 활동을 선보이는 로컬 커뮤니티 축제 프로그램,(사)춘천마임축제+KBS방송총국+춘천MBC,033-242-0585,,강원특별자치도 춘천시 춘천로 112 축제극장몸짓,2024-01-31,강원특별자치도 춘천시
춘천마임축제 걷다 보는 마임,2023-05-31,2023-06-01,"일시적, 일회적 축제방식이 아닌, 소소하더라도 시민들과 깊이 있는 교감을 이뤄낼 수 있는 다양하고 지속적인 콘텐츠로 웃음을 선사하는 축제이다.",춘천마임축제,033-242-0582,,강원특별자치도 춘천시 춘천로 112 축제극장몸짓,2024-01-31,강원특별자치도 춘천시
제 29회 봄내예술제 봄내미술인전_시민과 예술인의 만남,2023-05-26,2023-06-07,"춘천미술협회 회원, 일반인, 미술애호가들의 전시(208점 작품 전시)",(사)한국예술문화단체총연합회 춘천지회,033-241-1856,,강원특별자치도 춘천시 서부대성로 71,2024-01-31,강원특별자치도 춘천시
2023 마임아카데미 실행 워크숍,2023-05-27,2023-06-03,"자신의 상태,창작물의 완성도를 한 단계 확신에 가까운 상태로 이끌 수 있는 계기를 만들기 위한 시간",강원특별자치도청 +강원특별자치도 춘천시청,033-244-7556,,강원특별자치도 춘천시 행촌로 35(퇴계동),2024-01-31,강원특별자치도 춘천시
에코아트페어 제로섬씽Zero-Somthing 2024,2024-11-01,2024-11-01,기후위기를 극복하는 제로 웨이스트 전시 형태,강원도민일보,,,강원특별자치도 춘천시 효자상길5번길 13(효자동),2024-01-31,강원특별자치도 춘천시
2024춘천예술문화축제 - 제11회 한여름밤의 아리아,2024-08-14,2024-08-14,춘천예술문화축제  한여름 밤의 아리아,강원특별자치도 춘천시청+(사)강원민예총 춘천지부,033-251-8907,,강원특별자치도 춘천시 스포츠타운길399번길 25 어린이회관,2024-01-31,강원특별자치도 춘천시
2024 춘천연극제,2024-07-01,2024-09-30,관객과 함께 웃고 호흡하는 연극제,(사)춘천연극제+G1방송,033-241-4345,http://citf.or.kr/document/citf_intro,강원특별자치도 춘천시 서부대성로 71,2024-01-31,강원특별자치도 춘천시
마켓396 6월X 커넥티드스몰마켓 in chuncheon,2022-06-25,2022-06-25,춘천의 핸드메이드 브랜드와 특별손님 커넥티드 북스토어,근화동396 청년창업지원센터,033-256-3961,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10563&search_type=1&search_keyword=EBA788ECBC93396+6EC9B94,강원도 춘천시 중앙로 186,2023-01-12,강원도 춘천시
강원도립무용단 창작무용극 강호,2022-06-22,2022-06-22,백호-수호랑의 감춰진 이야기 창작무용극,강원도입무용단,033-251-4417,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10528&search_type=1&search_keyword=EAB095EC9B90EB8F84EBA6BDEBACB4EC9AA9EB8BA8+ECB0BDEC9E91EBACB4EC9AA9EAB7B9,강원도 춘천시 효자상길 5번길 13,2023-01-12,강원도 춘천시
가야문화축제(예정),2023-04-20,2023-04-23,공식+민속+축제+체험+설치+부대 연계행사,경상남도 김해시청,055-330-3944,http://www.gcfkorea.com,경상남도 김해시 가야의길 126,2022-12-29,경상남도 김해시
김해분청도자기축제,2022-10-21,2022-10-30,의식+특별전시+판매+부대행사,경상남도 김해시청,055-330-3244,http://www.gimhae.go.kr/00224/00223/03324.web?amode=view&idx=395,경상남도 김해시 진례면 진례로 275-35,2022-12-29,경상남도 김해시
김해평생학습과학축제,2022-10-22,2022-10-23,전시+축제+체험 설치+부대행사,김해평생학습과학축제운영위원회,055-330-4883,http://www.gimhae.go.kr/edu.web,경상남도 김해시 가야의길 126,2022-12-29,경상남도 김해시
가파도청보리축제,2023-04-08,2023-04-16,청보리 밭+올레길 걷기+소망돌탑쌓기+버스킹(주말) 등,대정읍사무소,064-760-4085,https://www.seogwipo.go.kr/festivals/cheongbori/index.htm,제주특별자치도 서귀포시 대정읍 가파로67번길,2024-03-13,제주특별자치도 서귀포시
한라산청정고사리축제,2023-04-29,2023-04-30,고사리 꺾기+고사리 음식 만들기+고사리 풍습체험+고사리 사진 콘테스트 등,남원읍사무소,064-760-4181,http://www.jejugosari.net/index.php,,2024-03-13,제주특별자치도 서귀포시
보목자리돔축제,2023-05-26,2023-05-18,보목해안도로 걷기+자리돔 맨손잡기+카약 체험+자리돔 경연 등,보목자리돔축제위원회,064-733-3508,https://www.seogwipo.go.kr/festivals/damselfish/index.htm,제주특별자치도 서귀포시 보목포로 46,2024-03-13,제주특별자치도 서귀포시
제28회 표선해변 하얀모래축제,2023-07-29,2023-07-30,개막식+맨손 광어잡기+조개잡기+씨름대회+기요제 등,표선리마을회,064-760-4415,https://seogwipo.go.kr/festivals/pyoseon/index.htm,,2024-03-13,제주특별자치도 서귀포시
제21회 예래생태체험축제,2023-09-29,2023-09-30,가요제+달빛걷기+소원등 만들기 등,예래동주민자치위원회,064-760-4845,https://seogwipo.go.kr/festivals/yerae/index.htm,제주특별자치도 서귀포시 예래해안로 256,2024-03-13,제주특별자치도 서귀포시
제19회 쇠소깍축제,2023-09-09,2023-09-10,개회식+축하공연+불꽃놀이+보물찾기+테우 및 카약 무료체험+현장참여 이벤트 등,효돈동연합청년회,064-760-4623,https://seogwipo.go.kr/festivals/blacksand/info/intro.htm,제주특별자치도 서귀포시 쇠소깍로 151-7,2024-03-13,제주특별자치도 서귀포시
제29회 서귀포칠십리축제,2023-10-13,2023-10-15,칠십리 마을문화예술제+공연+체험 등,제주특별자치도 서귀포시,064-760-3942,https://seogwipo.go.kr/festivals/70ni/info/intro.htm,제주특별자치도 서귀포시 월드컵로 33,2024-03-13,제주특별자치도 서귀포시
제18회 중문칠선녀축제,2023-10-02,2023-10-03,중문 칠선녀 축제,제주특별자치도 서귀포시,064-760-4824,https://seogwipo.go.kr/festivals/sevenbeauty/info/intro.htm,,2024-03-13,제주특별자치도 서귀포시
제29회 제주 성읍마을 전통민속재현축제,2023-11-03,2023-11-05,초가집줄놓기+전통혼례식 등 문화예술행사,제주특별자치도 서귀포시,064-787-1306,https://seogwipo.go.kr/festivals/seongeup/info/intro.htm,제주특별자치도 서귀포시 표선면 성읍정의현로 30,2024-03-13,제주특별자치도 서귀포시
제12회 혼인지축제,2023-10-21,2023-10-22,길트기+삼공주 추원제+민속경기+향토음식경연 등,제주특별자치도 서귀포시,064-782-0766,https://seogwipo.go.kr/festivals/marriage/info/intro.htm,제주특별자치도 서귀포시 성산읍 온평애향로23번길 6,2024-03-13,제주특별자치도 서귀포시
제25회 서귀포 겨울바다 국제펭귄수영대회,2024-01-01,2024-01-01,펭귄수영대회,제주특별자치도 서귀포시,064-739-7201,https://seogwipo.go.kr/festivals/penguinswimming/info/intro.htm,,2024-03-13,제주특별자치도 서귀포시
제41회 서귀포유채꽃축제,2024-03-30,2024-03-31,개막식+댄스 플래시몹+차세대 우리춤 페스티벌+유채꽃밭 관람 및 각종 공연(체험) 등,제주특별자치도 서귀포시,064-760-3942,https://seogwipo.go.kr/festivals/uchae/info/intro.htm,제주특별자치도 서귀포시 표선면 녹산로 381-17,2024-03-13,제주특별자치도 서귀포시
제26회 유채꽃국제걷기대회,2024-03-23,2024-03-24,유채꽃 걷기 대회,제주특별자치도 서귀포시+(사)한국체육진흥회,064-760-3945,https://cafe.daum.net/seogwipo-walking,제주특별자치도 서귀포시 월드컵로 33,2024-03-13,제주특별자치도 서귀포시
충주 우륵문화제,2024-10-03,2024-10-07,문화행사+전통체험행사,충청북도 충주시청,043-847-1565,www.cjart.or.kr/,충청북도 충주시 중앙로 128,2024-02-29,충청북도 충주시
지리산피아골단풍축제,2022-10-29,2022-10-30,단풍제례+노래자랑+버스킹,지리산피아골단풍축제추진위원회,061-780-2255,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000103&menuNo=104001006000,,2023-12-01,전라남도 구례군
구문소용축제,2023-06-24,2023-06-25,용신제+전통공연+체험프로그램,구문소축제위원회,033-581-6904,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,2023-12-07,강원특별자치도 태백시
황연 기차화통 축제,2023-07-14,2023-07-16,문화공연+체험행사+먹거리행사 등,황연동+황연동주민자치위원회,033-552-1371,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,2023-12-07,강원특별자치도 태백시
필봉마을굿축제,2022-08-12,2022-08-15,국가무형문화재 초청공연+전국농악경연대회+전통연희+학술세미나,임실필봉농악보존회,063-643-1902,www.pilbong.co.kr,전라북도 임실군 강진면 강운로 272,2023-11-27,전라북도 임실군
임실N치즈축제,2023-10-06,2023-10-09,"국가대표 임실N치즈 대형 쌀피자 체험, 임실N치즈 경매 등",전라북도 임실군,063-643-3900,www.imsilfestival.com,전라북도 임실군 성수면 도인2길 50,2023-11-27,전라북도 임실군
산타축제,2023-12-23,2023-10-23,산타 및 겨울 관련 공연 이벤트 체험행사 등,(재)임실치즈테마파크,063-643-2300,www.cheesepark.kr,전라북도 임실군 성수면 도인2길 50,2023-11-27,전라북도 임실군
의견문화제,2022-05-05,2022-05-07,반려동물 패션쇼+반려동물 토크쇼+반려동물 참여 및 체험프로그램+반려동물 산업박람회,의견문화제전위원회,063-642-5292,,전라북도 임실군 오수면 충효로 2096-16,2023-11-27,전라북도 임실군
제24회 양평단월고로쇠축제,2023-03-18,2023-03-19,물맑은 양평의 청정지역에서만 나오는 소리산 고로쇠 수액으로 매년 3월에 개최되는 축제,경기도 양평군 단월면,031-770-3192,www.양평고로쇠축제.com,경기도 양평군 단월면 보룡길 123,2023-12-05,경기도 양평군
제20회 양평산수유한우축제,2023-04-01,2023-04-02,노란 산수유 꽃이 피는 4월 주읍리 등 마을길을 걷고 개군한우를 먹으며 즐길 수 있는 축제,경기도 양평군 개군면,031-770-3342,https://sansuyuhanwoo.modoo.at/,경기도 양평군 개군면 자진개1길 91,2023-12-05,경기도 양평군
제13회 양평 용문산 산나물축제,2023-04-28,2023-04-30,산나물의 맛과 향기를 느낄수 있는 즐거운 체험+공연이 펼쳐지는 다채로운 축제,경기도 양평군청,031-770-1072,,경기도 양평군 용문면 용문산로 656,2023-12-05,경기도 양평군
2024 수원음식문화박람회,2024-10-04,2024-10-06,"전국요리경연대회, 국제자매도시조리사초청전 동시개최로 수원의 맛과 멋을 알리는 수원만의 특색있는 음식문화박람회",경기도 수원시,031-228-2233,,경기도 수원시 팔달구 창룡대로 21,2024-04-26,경기도 수원시
2024 유성온천문화축제,2024-05-09,2024-05-12,온천수 물총 스플래쉬+거리퍼레이드+온천수DJ파티,대전광역시 유성구청,042-611-2137,,대전광역시 유성구 어은로 22,2024-05-01,대전광역시 유성구
2024 태화강마두희축제,2024-06-14,2024-06-16,큰줄다리기+부대행사,태화강마두희축제추진위원회,052-290-3662,,울산광역시 중구 시계탑거리 4,2024-04-30,울산광역시 중구
2024년 외솔한글한마당,2024-10-05,2024-10-09,한글을 주제로 한 전시+체험+경연+공연,ubc 울산방송,052-290-3642,,울산광역시 중구 시계탑거리 4,2024-04-30,울산광역시 중구
2024 문화의거리 현대미술제,2024-05-11,2024-05-19,갤러리+거리 미술작품 전시,경상일보,052-290-3666,,울산광역시 중구 시계탑거리 4,2024-04-30,울산광역시 중구
2024년 울산병영3.1만세운동 제23회 재현행사,2024-04-04,2024-04-05,위령제+추모제+삼일만세운동재현행사+부대행사,중구문화원,052-290-3664,,울산광역시 중구 병영성13길 2,2024-04-30,울산광역시 중구
동대문구 봄꽃축제,2024-03-30,2024-03-31,봄철 동대문구의 대표적인 축제+축하공연+체험프로그램,서울특별시 동대문구청,02-2127-4711,,서울특별시 동대문구 천호대로 145,2024-03-24,서울특별시 동대문구
선농대제,2024-04-19,2024-04-20,어가행렬+제례봉행+한시대회+선농제향체험프로그램,재단법인 동대문문화재단,02-3295-5565,,서울특별시 동대문구 무학로 44길 38,2024-03-24,서울특별시 동대문구
제32회 전라남도 장애인 체육대회,2024-04-29,2024-05-01,21개 종목 체육대회,전라남도장애인체육회,061-350-5114,https://jnsports.kr,전라남도 영광군 영광읍 월현로 170,2024-04-12,전라남도
제18회 전국장애학생체전,2024-05-14,2024-05-17,17개 종목 초등학교부+중학교부+고등학교부 장애학생체육대회,대한장애인체육회,,https://jeonnamsports.or.kr/18_sports,전라남도 목포시 대양산단로 23 목포종합경기장 235호,2024-04-12,전라남도
제53회 전국소년체전,2024-05-25,2024-05-28,36개 종목 13세 이하부+16세 이하부 체육대회,대한체육회,,https://jeonnamsports.or.kr/53,전라남도 목포시 대양산단로 23 목포종합경기장 235호,2024-04-12,전라남도
둔내고랭지토마토축제,2022-08-13,2022-08-15,토마토풀장+향토음식체험 등,강원도 횡성군 둔내면행정복지센터,033-340-2774,,강원도 횡성군 둔내면 경강로 4708,2022-07-18,강원도 횡성군
횡성더덕축제,2022-08-26,2022-08-28,더덕캐기체험+더덕품평회 등,강원도 횡성군 청일면행정복지센터,033-340-2832,,강원도 횡성군 청일면 유동로 17,2022-07-18,강원도 횡성군
안흥찐빵축제,2022-10-07,2022-10-09,안흥찐빵 시식 및 홍보+농경문화 체험+먹거리장터운영 등,강원도 횡성군 안흥면행정복지센터,033-340-2742,,강원도 횡성군 안흥면 주천강로 1868,2022-07-18,강원도 횡성군
횡성한우축제,2022-09-30,2022-10-04,한우구이터+횡성한우 발전포럼+횡성빛축제 등,강원도 횡성군청,033-340-5712,http://www.happyhanwoofestival.com/,강원도 횡성군 횡성읍 문화체육로 57,2022-07-18,강원도 횡성군
대구화교중화문화축제,2016-10-22,2016-10-23,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,,대구광역시 중구 중앙대로79길 31 (종로2가),2023-07-12,대구광역시 중구
대구화교중화문화축제,2017-10-14,2017-10-15,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,,대구광역시 중구 중앙대로79길 31 (종로2가),2023-07-12,대구광역시 중구
대구화교중화문화축제,2018-10-20,2018-10-21,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,,대구광역시 중구 중앙대로79길 31 (종로2가),2023-07-12,대구광역시 중구
대구화교중화문화축제,2019-10-19,2019-10-20,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,,대구광역시 중구 중앙대로79길 31 (종로2가),2023-07-12,대구광역시 중구
중구미술협회전,2011-10-04,2011-10-09,중구미술협회작가 전시,중구미술협회,053-661-2177,,대구광역시 중구 봉산문화길 77,2023-07-12,대구광역시 중구
중구미술협회전,2012-12-21,2012-12-28,중구미술협회작가 전시,중구미술협회,053-661-2177,,대구광역시 중구 봉산문화길 77,2023-07-12,대구광역시 중구
중구미술협회전,2013-10-15,2013-10-21,중구미술협회작가 전시,중구미술협회,053-661-2177,,대구광역시 중구 봉산문화길 77,2023-07-12,대구광역시 중구
법성포단오제,2023-06-22,2023-06-25,문화축제,(사)법성포단오제보존회,061-356-4331,http://bspdanoje.co.kr,전라남도 영광군 법성면 진굴비길 154-13,2023-08-18,전라남도 영광군
불갑산상사화축제,2023-09-15,2023-09-24,문화축제,영광 불갑산상사화축제 추진위원회,061-350-5752,http://상사화축제.com,전라남도 영광군 불갑면 불갑사로 450,2023-08-18,전라남도 영광군
청남대 재즈토닉페스티벌,2023-05-26,2023-05-28,문화예술공연+MD부스,충청북도청,043-257-5080,,충청북도 청주시 상당구 문의면 청남대길 646,2023-12-01,충청북도
제54회 영동난계국악축제,2023-10-12,2023-10-15,퍼레이드+숭모제+국악기체험 등,충청북도 영동군,043-745-8916,,충청북도 영동군 영동읍 동정로 1,2023-12-07,충청북도 영동군
은하면 딸기축제,2024-04-27,2024-04-27,"딸기잼 만들기 체험, 청 만들기, 딸기 탕후루, 딸기잼 시식코너, 딸기따기 체험 등",은하면 행정복지센터,041-630-9412,https://www.hongseong.go.kr/em/sub07_010501.do,충청남도 홍성군 은하면 은하로 564,2024-03-26,충청남도 홍성군
논산딸기축제,2024-03-21,2024-03-24,논산딸기 우수성 홍보,충청남도 논산시,041-730-2928,https://www.nonsan.go.kr/nsfestival/,충청남도 논산시 체육로 110,2024-03-20,충청남도 논산시
리차드 로의 재즈톡,2021-06-24,2021-06-24,재즈,꽃바위문화관,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,울산광역시 동구 문현3길 6,2024-05-21,울산광역시 동구
나 때는 말이야,2021-07-22,2021-07-22,힙합,꽃바위문화관,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,울산광역시 동구 문현3길 6,2024-05-21,울산광역시 동구
힐링 개그 콘서트,2021-08-26,2021-08-26,개그x싱어롱,꽃바위문화관,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,울산광역시 동구 문현3길 6,2024-05-21,울산광역시 동구
오페라 팝페라 뽕페라,2021-09-30,2021-09-30,콘서트,꽃바위문화관,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,울산광역시 동구 문현3길 6,2024-05-21,울산광역시 동구
박강수콘서트,2021-10-21,2021-10-21,콘서트,꽃바위문화관,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,울산광역시 동구 문현3길 6,2024-05-21,울산광역시 동구
강원도립극단 기획공연 뮤지컬 무궁화 꽃이 피었습니다,2022-09-21,2022-09-22,"당연하게 생각해왔지만 사실은 잘 알지 못했던 무궁화 이야기, 그 이야기를 시작해본다",강원도립극단,033-255-0496,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10729,강원도 춘천시 영서로 3017 춘천인형극장,2023-01-12,강원도 춘천시
엘사의 생일파티,2022-11-19,2022-11-20,겨울왕국 ost뮤지컬,극단예일,02-555-0822,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10709&search_type=1&search_keyword=EC9798EC82ACEC9D98+EC839DEC9DBCED8C8CED8BB0,강원도 춘천시 효자상길5번길 13,2023-01-12,강원도 춘천시
강원예총 60주년 문화예술대축제 공감음악회,2022-08-27,2022-08-27,문화예술대출제 공감 음악회,사)한국예총강원도연합회,033-254-2252,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10708,강원도 춘천시 수변공원길 18,2023-01-12,강원도 춘천시
2022년 대한민국의 새로운 민요지형도 덩기두밥 프로젝트,2022-08-21,2022-08-21,"민요를 모티브로 한 국악과 재즈, 시각예술이 융합된 종합예술 프로젝트",예술경영지원센터,031-581-2813,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10705&search_type=1&search_keyword=2022EB8584+EB8C80ED959CEBAFBCEAB5ADEC9D98+EC8388EBA19CEC9AB4+EBAFBCEC9A94ECA780ED9895EB8F84+3A3A+EB8DA9EAB8B0EB9190EBB0A5+ED9484EBA19CECA09DED8AB8,강원도 춘천시 스포츠타운길399번길 25 어린이회관,2023-01-12,강원도 춘천시
제3회 호반음악제-어느 여름날,2022-08-20,2022-08-20,제3회 호반음악제-어느 여름날(One Summer Day),강원도민일보,033-260-9331,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10690,강원도 춘천시 강원대학길 1,2023-01-12,강원도 춘천시
춘천 라틴 뮤직 페스타 춤 추어라 호반아,2022-08-20,2022-08-20,호반과 공연의 도시 춘천에서 라틴을 만나다. 오는 8월 20일 토요일 오후 19시 춘천 공지천 야외공연장에서 춘천 라틴 페스타 춤 추어라 호반아’ 공연,춘천민예총 실용음악협회,033-261-6282,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10687,강원도 춘천시 수변공원길 18,2023-01-12,강원도 춘천시
춘천리조이스힐링 페스티벌,2022-08-14,2022-08-14,춘천리조이스힐링 페스티벌,(사)강원민예총 춘천지부,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10685&search_type=1&search_keyword=ECB698ECB29CEBA6ACECA1B0EC9DB4EC8AA4ED9E90EBA781+ED8E98EC8AA4ED8BB0EBB28C,강원도 춘천시 수변공원길 18,2023-01-12,강원도 춘천시
2022 차근차근 상영전,2022-10-21,2022-10-23,영화무료상영&벼룩시장&체험전,춘천지속가능발전협의회+평창국제평화영화제,033-243-4900,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10816&search_type=1&search_keyword=2022+ECB0A8EAB7BCECB0A8EAB7BC+EC8381EC9881ECA084,강원도 춘천시 춘천로 112,2023-01-12,강원도 춘천시
2022 리얼노상댄스펍,2022-09-14,2022-09-17,"로드 스테이지, 노상살롱, 유스클럽, 랜덤플레이 댄스, M에스Z숍",(사)춘천마임축제,033-242-0585,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10793&search_type=1&search_keyword=2022+EBA6ACEC96BCEB85B8EC8381EB8C84EC8AA4ED8E8D,강원도 춘천시 애막골길16번길 6,2023-01-12,강원도 춘천시
제20회 춘천국제고음악제,2022-09-16,2022-09-23,춘천국제고음악제,(사)춘천국제고음악제,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10800&search_type=1&search_keyword=ECA09C20ED9A8C+ECB698ECB29CEAB5ADECA09CEAB3A0EC9D8CEC9585ECA09C,강원도 춘천시 우석로 70 국립춘천박물관,2023-01-12,강원도 춘천시
2022 춘천 색소폰 페스티벌 & 춘천 아마추어 색소폰 경연대회,2022-10-01,2022-10-02,춘천 전국 아마추어 색소폰 경연대회,춘천 국제 색소폰 페스티벌 조직 위원회,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10797,강원도 춘천시 스포츠타운길399번길 25 어린이회관,2023-01-12,강원도 춘천시
2022 춘천 반려동물 동행 페스티벌,2022-10-01,2022-10-02,춘천 송암스포츠 타운 보조경기장에서 반려동물과 함께 즐기는 신나고 다양한 체험 프로그램과 토크콘서트,강원도 춘천시청,033-250-3114,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10756&search_type=1&search_keyword=2022+ECB698ECB29C+EBB098EBA0A4EB8F99EBACBC+EB8F99ED9689+ED8E98EC8AA4ED8BB0EBB28C,강원도 춘천시 스포츠타운길 136,2023-01-12,강원도 춘천시
춘천인형극제,2022-08-26,2022-09-04,1989년 시작되어 국내와 세계 각국의 인형극단이 참가하여 수준 높은 공연을 선보이는 국내 최대의 인형극축제,춘천인형극제+강원민방,033-242-8452,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10744&search_type=1&search_keyword=ECB698ECB29CEC9DB8ED9895EAB7B9ECA09C,강원도 춘천시 시청길 11 춘천시청,2023-01-12,강원도 춘천시
새명동 상권 축제 시청광장에 어린이들 모여라 어린이 행사 반짝 놀이터,2022-09-03,2022-09-03,다양한 컨텐츠 경험을 통해 새명동 상권을 방문 할 수 있는 발판을 마련하는 프로그램,강원도 춘천시청,033-250-4938,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10740,강원도 춘천시 시청길 11,2023-01-12,강원도 춘천시
마켓396 8월NIGHT MARKET,2022-08-27,2022-08-27,지역 내 핸드메이드&일러스트 기반 청년창작자의 창업활동 기반을 조성하고 시민들의 창작 경험 확대를 지원하기 위해 설립된 마켓,주최근화동396 청년창업지원센터,033-256-3961,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10727,강원도 춘천시 중앙로 186,2023-01-12,강원도 춘천시
